selection_coefficient,fasta_file,Tajimas_D,Tajima_pi,num_of_mutation,snps_file,matrix_image_file,ancestral_seq,snps_image,output_file,average_h,category_sfs_1,category_sfs_2,category_sfs_3,category_sfs_4,category_sfs_5,category_sfs_6,category_sfs_7,category_sfs_8,category_sfs_9
0.0012,output/output_selection/fasta/selection_0.0012.fasta,-0.03948455692745882,0.0021438937125780352,1123.0,output/output_selection/snps/snps_0.0012.fasta,output/output_selection/matrix/matrix_0.0012.txt,output/output_selection/ancestral_sequence/ancestral_0.0012.fasta,output/output_selection/images/image_0.0012.png,output/output_selection/h_result/h_0.0012.txt,3445.98,0.07747106,0.0730187,0.0632235,0.10240427,0.03650935,0.14425644999999998,0.15048979,0.05788069,0.07747103
0.0149,output/output_selection/fasta/selection_0.0149.fasta,-0.9457745989164646,0.0009535743026408105,684.0,output/output_selection/snps/snps_0.0149.fasta,output/output_selection/matrix/matrix_0.0149.txt,output/output_selection/ancestral_sequence/ancestral_0.0149.fasta,output/output_selection/images/image_0.0149.png,output/output_selection/h_result/h_0.0149.txt,16463.5,0.12865497,0.08040936,0.08333333,0.02923977,0.02777778,0.05263157,0.12719298999999998,0.03362574000000001,0.16959065
0.0393,output/output_selection/fasta/selection_0.0393.fasta,-2.035884396846804,0.00043305021495239837,560.0,output/output_selection/snps/snps_0.0393.fasta,output/output_selection/matrix/matrix_0.0393.txt,output/output_selection/ancestral_sequence/ancestral_0.0393.fasta,output/output_selection/images/image_0.0393.png,output/output_selection/h_result/h_0.0393.txt,16405.9,0.16071429,0.08392857,0.08035715,0.08392857,0.02142858,0.017857139999999997,0.0,0.0,0.25892856000000003
0.05,output/output_selection/fasta/selection_0.05.fasta,-2.107023745943117,0.00041557564222337756,567.0,output/output_selection/snps/snps_0.05.fasta,output/output_selection/matrix/matrix_0.05.txt,output/output_selection/ancestral_sequence/ancestral_0.05.fasta,output/output_selection/images/image_0.05.png,output/output_selection/h_result/h_0.05.txt,16599.6,0.13932981,0.07231041,0.06525573,0.026455029999999997,0.01058202,0.037037049999999995,0.01410935,0.00705468,0.24162257999999998
0.0744,output/output_selection/fasta/selection_0.0744.fasta,-2.518222894877823,0.00021883821565824675,441.0,output/output_selection/snps/snps_0.0744.fasta,output/output_selection/matrix/matrix_0.0744.txt,output/output_selection/ancestral_sequence/ancestral_0.0744.fasta,output/output_selection/images/image_0.0744.png,output/output_selection/h_result/h_0.0744.txt,19939.3,0.14965986,0.138322,0.12471656,0.01133786,0.01814059,0.00680272,0.0,0.0,0.18140589000000001
0.0774,output/output_selection/fasta/selection_0.0774.fasta,-1.8430081946342616,0.00029328797621114625,334.0,output/output_selection/snps/snps_0.0774.fasta,output/output_selection/matrix/matrix_0.0774.txt,output/output_selection/ancestral_sequence/ancestral_0.0774.fasta,output/output_selection/images/image_0.0774.png,output/output_selection/h_result/h_0.0774.txt,20126.4,0.11077844,0.06287425,0.06886227,0.02694611,0.00299401,0.032934120000000004,0.047904169999999996,0.041916159999999994,0.09281437000000001
0.0881,output/output_selection/fasta/selection_0.0881.fasta,-2.717859314988309,0.0001246997631033786,330.0,output/output_selection/snps/snps_0.0881.fasta,output/output_selection/matrix/matrix_0.0881.txt,output/output_selection/ancestral_sequence/ancestral_0.0881.fasta,output/output_selection/images/image_0.0881.png,output/output_selection/h_result/h_0.0881.txt,17955.7,0.2,0.04848485,0.06363637,0.05151515,0.00606061,0.0030303,0.0,0.0,0.08787878
0.1018,output/output_selection/fasta/selection_0.1018.fasta,-2.0434997204203658,0.0003381562143974519,441.0,output/output_selection/snps/snps_0.1018.fasta,output/output_selection/matrix/matrix_0.1018.txt,output/output_selection/ancestral_sequence/ancestral_0.1018.fasta,output/output_selection/images/image_0.1018.png,output/output_selection/h_result/h_0.1018.txt,17887.9,0.10657596,0.05442177,0.09750566999999999,0.056689340000000005,0.07256236,0.03174603,0.0,0.0,0.22902493000000002
0.1399,output/output_selection/fasta/selection_0.1399.fasta,-2.1096776595481748,0.00030746965257620124,422.0,output/output_selection/snps/snps_0.1399.fasta,output/output_selection/matrix/matrix_0.1399.txt,output/output_selection/ancestral_sequence/ancestral_0.1399.fasta,output/output_selection/images/image_0.1399.png,output/output_selection/h_result/h_0.1399.txt,17523.9,0.16824645,0.11374408,0.0971564,0.08767771999999999,0.047393359999999995,0.0,0.0,0.0,0.20142179000000002
0.1994,output/output_selection/fasta/selection_0.1994.fasta,-2.6424669059699157,0.00011962304619378007,286.0,output/output_selection/snps/snps_0.1994.fasta,output/output_selection/matrix/matrix_0.1994.txt,output/output_selection/ancestral_sequence/ancestral_0.1994.fasta,output/output_selection/images/image_0.1994.png,output/output_selection/h_result/h_0.1994.txt,18793.0,0.16783217,0.1048951,0.09090909,0.02097902,0.01048951,0.01398601,0.0,0.0,0.07342657
0.2024,output/output_selection/fasta/selection_0.2024.fasta,-2.690356383928968,0.00011260291437489617,288.0,output/output_selection/snps/snps_0.2024.fasta,output/output_selection/matrix/matrix_0.2024.txt,output/output_selection/ancestral_sequence/ancestral_0.2024.fasta,output/output_selection/images/image_0.2024.png,output/output_selection/h_result/h_0.2024.txt,18006.6,0.19791667,0.05555556,0.11458334,0.03472222,0.01041666,0.0,0.0,0.0,0.04861111
0.2131,output/output_selection/fasta/selection_0.2131.fasta,-2.2796918094305583,0.000222155354204033,353.0,output/output_selection/snps/snps_0.2131.fasta,output/output_selection/matrix/matrix_0.2131.txt,output/output_selection/ancestral_sequence/ancestral_0.2131.fasta,output/output_selection/images/image_0.2131.png,output/output_selection/h_result/h_0.2131.txt,22625.8,0.11048159,0.08215297,0.11898017,0.09631728,0.03399433,0.01133144,0.0,0.0,0.13314447000000001
0.2375,output/output_selection/fasta/selection_0.2375.fasta,-2.4183740841990047,0.00020380200238401608,370.0,output/output_selection/snps/snps_0.2375.fasta,output/output_selection/matrix/matrix_0.2375.txt,output/output_selection/ancestral_sequence/ancestral_0.2375.fasta,output/output_selection/images/image_0.2375.png,output/output_selection/h_result/h_0.2375.txt,14312.4,0.17027027,0.07297297,0.06216217,0.12702703,0.01081081,0.0,0.0,0.0,0.12162161999999999
0.2756,output/output_selection/fasta/selection_0.2756.fasta,-2.662241895383467,0.0001232230101941399,302.0,output/output_selection/snps/snps_0.2756.fasta,output/output_selection/matrix/matrix_0.2756.txt,output/output_selection/ancestral_sequence/ancestral_0.2756.fasta,output/output_selection/images/image_0.2756.png,output/output_selection/h_result/h_0.2756.txt,17717.6,0.15231788,0.09602649,0.08609271,0.02980132,0.019867549999999998,0.0,0.0,0.0,0.07615894
0.2844,output/output_selection/fasta/selection_0.2844.fasta,-2.718820643046913,0.00012491390237612726,331.0,output/output_selection/snps/snps_0.2844.fasta,output/output_selection/matrix/matrix_0.2844.txt,output/output_selection/ancestral_sequence/ancestral_0.2844.fasta,output/output_selection/images/image_0.2844.png,output/output_selection/h_result/h_0.2844.txt,20655.1,0.23564955,0.07854985,0.06344411,0.03021148,0.0,0.0060423,0.0,0.0,0.13293052
0.2875,output/output_selection/fasta/selection_0.2875.fasta,-2.3483555969891907,0.00025971861493506227,438.0,output/output_selection/snps/snps_0.2875.fasta,output/output_selection/matrix/matrix_0.2875.txt,output/output_selection/ancestral_sequence/ancestral_0.2875.fasta,output/output_selection/images/image_0.2875.png,output/output_selection/h_result/h_0.2875.txt,16844.5,0.11872146,0.19406393,0.04794521,0.0890411,0.00913242,0.00228311,0.0,0.0,0.16894979000000002
0.2893,output/output_selection/fasta/selection_0.2893.fasta,-2.7223190671338497,0.00012307149655776104,328.0,output/output_selection/snps/snps_0.2893.fasta,output/output_selection/matrix/matrix_0.2893.txt,output/output_selection/ancestral_sequence/ancestral_0.2893.fasta,output/output_selection/images/image_0.2893.png,output/output_selection/h_result/h_0.2893.txt,13341.9,0.1554878,0.05487805,0.08841464,0.02134146,0.018292680000000002,0.00304878,0.0,0.0,0.10060975
