bottleneck_intensity,fasta_file,Tajimas_D,Tajima_pi,num_of_mutation,snps_file,matrix_image_file,ancestral_seq,snps_image,output_file,average_h,category_sfs_1,category_sfs_2,category_sfs_3,category_sfs_4,category_sfs_5,category_sfs_6,category_sfs_7,category_sfs_8,category_sfs_9
0.053,output/output_bottleneck/fasta/bottleneck_0.053.fasta,-0.06745828997620018,0.002033310980021517,1074.0,output/output_bottleneck/snps/bottleneck_0.053.fasta,output/output_bottleneck/matrix/matrix_0.053.txt,output/output_bottleneck/ancestral_sequence/ancestral_0.053.fasta,output/output_bottleneck/images/image_0.053.png,output/output_bottleneck/h_result/h_0.053.txt,3808.48,0.10986965,0.09124767,0.08659217999999999,0.09031657,0.07076350000000001,0.09776534999999999,0.17970206999999994,0.05772813,0.04934823000000001
0.0637,output/output_bottleneck/fasta/bottleneck_0.0637.fasta,0.3596481069758687,0.002259235993498657,1058.0,output/output_bottleneck/snps/bottleneck_0.0637.fasta,output/output_bottleneck/matrix/matrix_0.0637.txt,output/output_bottleneck/ancestral_sequence/ancestral_0.0637.fasta,output/output_bottleneck/images/image_0.0637.png,output/output_bottleneck/h_result/h_0.0637.txt,3398.28,0.06238185,0.06994329,0.07561437,0.05198487,0.059546310000000005,0.12381854,0.22967869000000002,0.06805294999999999,0.0567108
0.0907,output/output_bottleneck/fasta/bottleneck_0.0907.fasta,-0.06489615918625248,0.002014028344565049,1063.0,output/output_bottleneck/snps/bottleneck_0.0907.fasta,output/output_bottleneck/matrix/matrix_0.0907.txt,output/output_bottleneck/ancestral_sequence/ancestral_0.0907.fasta,output/output_bottleneck/images/image_0.0907.png,output/output_bottleneck/h_result/h_0.0907.txt,3495.88,0.08372531,0.07149577,0.12605833,0.11382878,0.06585136999999999,0.12888053,0.18062090999999994,0.04327375000000001,0.027281260000000005
0.0938,output/output_bottleneck/fasta/bottleneck_0.0938.fasta,-0.0025823334536525825,0.001985965998925876,1029.0,output/output_bottleneck/snps/bottleneck_0.0938.fasta,output/output_bottleneck/matrix/matrix_0.0938.txt,output/output_bottleneck/ancestral_sequence/ancestral_0.0938.fasta,output/output_bottleneck/images/image_0.0938.png,output/output_bottleneck/h_result/h_0.0938.txt,3673.14,0.11661808,0.07385811,0.07580175,0.0670554,0.05442176,0.15549075999999998,0.1574344,0.04664723,0.07580174999999999
0.1262,output/output_bottleneck/fasta/bottleneck_0.1262.fasta,0.2724258264478277,0.0022444482625880915,1076.0,output/output_bottleneck/snps/bottleneck_0.1262.fasta,output/output_bottleneck/matrix/matrix_0.1262.txt,output/output_bottleneck/ancestral_sequence/ancestral_0.1262.fasta,output/output_bottleneck/images/image_0.1262.png,output/output_bottleneck/h_result/h_0.1262.txt,4002.27,0.1105948,0.05390335,0.0901487,0.06226765,0.0408922,0.12174720999999998,0.20167287,0.06784385999999999,0.06877322999999999
0.1506,output/output_bottleneck/fasta/bottleneck_0.1506.fasta,0.4463821672738513,0.0025820368058945787,1182.0,output/output_bottleneck/snps/bottleneck_0.1506.fasta,output/output_bottleneck/matrix/matrix_0.1506.txt,output/output_bottleneck/ancestral_sequence/ancestral_0.1506.fasta,output/output_bottleneck/images/image_0.1506.png,output/output_bottleneck/h_result/h_0.1506.txt,3058.53,0.11928934,0.05245347,0.055837559999999994,0.06514383000000001,0.06514382,0.17512690000000003,0.18866327000000002,0.07021997,0.06937394
0.1532,output/output_bottleneck/fasta/bottleneck_0.1532.fasta,0.5670145622766914,0.0023250878602325198,1032.0,output/output_bottleneck/snps/bottleneck_0.1532.fasta,output/output_bottleneck/matrix/matrix_0.1532.txt,output/output_bottleneck/ancestral_sequence/ancestral_0.1532.fasta,output/output_bottleneck/images/image_0.1532.png,output/output_bottleneck/h_result/h_0.1532.txt,3835.38,0.11337209,0.06589147,0.07848837,0.056201549999999996,0.03585272,0.13759691000000002,0.2102713200000001,0.10562014,0.06201549
0.1887,output/output_bottleneck/fasta/bottleneck_0.1887.fasta,-0.1624967472208194,0.0020582238622058294,1119.0,output/output_bottleneck/snps/bottleneck_0.1887.fasta,output/output_bottleneck/matrix/matrix_0.1887.txt,output/output_bottleneck/ancestral_sequence/ancestral_0.1887.fasta,output/output_bottleneck/images/image_0.1887.png,output/output_bottleneck/h_result/h_0.1887.txt,4325.53,0.08489723,0.04021448,0.10098302,0.08310992,0.040214480000000004,0.12957998999999998,0.14566583,0.03574623999999999,0.10813229000000003
0.2512,output/output_bottleneck/fasta/bottleneck_0.2512.fasta,0.3881027000140969,0.002274155036227425,1057.0,output/output_bottleneck/snps/bottleneck_0.2512.fasta,output/output_bottleneck/matrix/matrix_0.2512.txt,output/output_bottleneck/ancestral_sequence/ancestral_0.2512.fasta,output/output_bottleneck/images/image_0.2512.png,output/output_bottleneck/h_result/h_0.2512.txt,4132.92,0.07473983,0.08041627,0.06338694,0.06054872,0.02743614,0.10217596999999999,0.23368021,0.08041627000000001,0.05771051
0.2875,output/output_bottleneck/fasta/bottleneck_0.2875.fasta,-0.060412289501196224,0.0020091415247463717,1059.0,output/output_bottleneck/snps/bottleneck_0.2875.fasta,output/output_bottleneck/matrix/matrix_0.2875.txt,output/output_bottleneck/ancestral_sequence/ancestral_0.2875.fasta,output/output_bottleneck/images/image_0.2875.png,output/output_bottleneck/h_result/h_0.2875.txt,3359.0,0.09915014,0.11048159,0.0944287,0.06232294,0.05193578,0.10103870000000001,0.16619451000000007,0.07459869,0.06232294
0.3,output/output_bottleneck/fasta/bottleneck_0.3.fasta,0.2853756318359111,0.002317221272231741,1107.0,output/output_bottleneck/snps/bottleneck_0.3.fasta,output/output_bottleneck/matrix/matrix_0.3.txt,output/output_bottleneck/ancestral_sequence/ancestral_0.3.fasta,output/output_bottleneck/images/image_0.3.png,output/output_bottleneck/h_result/h_0.3.txt,3834.26,0.06142728,0.09033424,0.07317073,0.09575428999999999,0.08039747,0.10930443,0.17976510000000007,0.07768744,0.06955733000000001
0.303,output/output_bottleneck/fasta/bottleneck_0.303.fasta,0.3849559624845128,0.002141184648759579,996.0,output/output_bottleneck/snps/bottleneck_0.303.fasta,output/output_bottleneck/matrix/matrix_0.303.txt,output/output_bottleneck/ancestral_sequence/ancestral_0.303.fasta,output/output_bottleneck/images/image_0.303.png,output/output_bottleneck/h_result/h_0.303.txt,3844.31,0.09136546,0.0562249,0.05923695,0.08634538,0.039156619999999996,0.11847387000000001,0.22891567000000002,0.07831326000000001,0.04116469000000001
0.3469,output/output_bottleneck/fasta/bottleneck_0.3469.fasta,-0.02400396738522305,0.0018929144041893008,987.0,output/output_bottleneck/snps/bottleneck_0.3469.fasta,output/output_bottleneck/matrix/matrix_0.3469.txt,output/output_bottleneck/ancestral_sequence/ancestral_0.3469.fasta,output/output_bottleneck/images/image_0.3469.png,output/output_bottleneck/h_result/h_0.3469.txt,3784.88,0.07801418,0.07497467,0.08206687,0.08004052,0.05167173,0.15400202,0.14690978,0.04660584000000001,0.09625125999999999
0.4125,output/output_bottleneck/fasta/bottleneck_0.4125.fasta,-0.2026739523725301,0.00189464772018948,1043.0,output/output_bottleneck/snps/bottleneck_0.4125.fasta,output/output_bottleneck/matrix/matrix_0.4125.txt,output/output_bottleneck/ancestral_sequence/ancestral_0.4125.fasta,output/output_bottleneck/images/image_0.4125.png,output/output_bottleneck/h_result/h_0.4125.txt,4174.0,0.09204219,0.06040268,0.09204219,0.05369128,0.05369127,0.12368167,0.14765097999999993,0.05177373,0.10546501
0.428,output/output_bottleneck/fasta/bottleneck_0.428.fasta,0.4151841058023312,0.0022513976880433302,1039.0,output/output_bottleneck/snps/bottleneck_0.428.fasta,output/output_bottleneck/matrix/matrix_0.428.txt,output/output_bottleneck/ancestral_sequence/ancestral_0.428.fasta,output/output_bottleneck/images/image_0.428.png,output/output_bottleneck/h_result/h_0.428.txt,3783.19,0.12127045,0.06544755,0.10875842,0.07892203,0.05871029999999999,0.06159768,0.23484120999999997,0.08854668,0.055822899999999995
0.4387,output/output_bottleneck/fasta/bottleneck_0.4387.fasta,0.2451275421402182,0.001995961858563244,964.0,output/output_bottleneck/snps/bottleneck_0.4387.fasta,output/output_bottleneck/matrix/matrix_0.4387.txt,output/output_bottleneck/ancestral_sequence/ancestral_0.4387.fasta,output/output_bottleneck/images/image_0.4387.png,output/output_bottleneck/h_result/h_0.4387.txt,3921.43,0.11410788,0.05082988,0.07987552,0.06742738,0.06950208,0.13485478,0.19502073999999994,0.061203299999999995,0.058091279999999995
