selection_coefficient,fasta_file,Tajimas_D,Tajima_pi,num_of_mutation,snps_file,matrix_image_file,ancestral_seq,snps_image,output_file,average_h
0.0012,output/output_selection/fasta/selection_0.0012.fasta,-0.03948455692745882,0.0021438937125780352,1123.0,output/output_selection/snps/snps_0.0012.fasta,output/output_selection/matrix/matrix_0.0012.txt,output/output_selection/ancestral_sequence/ancestral_0.0012.fasta,output/output_selection/images/image_0.0012.png,output/output_selection/h_result/h_0.0012.txt,3445.98
0.0149,output/output_selection/fasta/selection_0.0149.fasta,-0.9457745989164646,0.0009535743026408105,684.0,output/output_selection/snps/snps_0.0149.fasta,output/output_selection/matrix/matrix_0.0149.txt,output/output_selection/ancestral_sequence/ancestral_0.0149.fasta,output/output_selection/images/image_0.0149.png,output/output_selection/h_result/h_0.0149.txt,16463.5
0.0393,output/output_selection/fasta/selection_0.0393.fasta,-2.035884396846804,0.00043305021495239837,560.0,output/output_selection/snps/snps_0.0393.fasta,output/output_selection/matrix/matrix_0.0393.txt,output/output_selection/ancestral_sequence/ancestral_0.0393.fasta,output/output_selection/images/image_0.0393.png,output/output_selection/h_result/h_0.0393.txt,16405.9
0.05,output/output_selection/fasta/selection_0.05.fasta,-2.107023745943117,0.00041557564222337756,567.0,output/output_selection/snps/snps_0.05.fasta,output/output_selection/matrix/matrix_0.05.txt,output/output_selection/ancestral_sequence/ancestral_0.05.fasta,output/output_selection/images/image_0.05.png,output/output_selection/h_result/h_0.05.txt,16599.6
0.0744,output/output_selection/fasta/selection_0.0744.fasta,-2.518222894877823,0.00021883821565824675,441.0,output/output_selection/snps/snps_0.0744.fasta,output/output_selection/matrix/matrix_0.0744.txt,output/output_selection/ancestral_sequence/ancestral_0.0744.fasta,output/output_selection/images/image_0.0744.png,output/output_selection/h_result/h_0.0744.txt,19939.3
0.0774,output/output_selection/fasta/selection_0.0774.fasta,-1.8430081946342616,0.00029328797621114625,334.0,output/output_selection/snps/snps_0.0774.fasta,output/output_selection/matrix/matrix_0.0774.txt,output/output_selection/ancestral_sequence/ancestral_0.0774.fasta,output/output_selection/images/image_0.0774.png,output/output_selection/h_result/h_0.0774.txt,20126.4
0.0881,output/output_selection/fasta/selection_0.0881.fasta,-2.717859314988309,0.0001246997631033786,330.0,output/output_selection/snps/snps_0.0881.fasta,output/output_selection/matrix/matrix_0.0881.txt,output/output_selection/ancestral_sequence/ancestral_0.0881.fasta,output/output_selection/images/image_0.0881.png,output/output_selection/h_result/h_0.0881.txt,17955.7
0.1018,output/output_selection/fasta/selection_0.1018.fasta,-2.0434997204203658,0.0003381562143974519,441.0,output/output_selection/snps/snps_0.1018.fasta,output/output_selection/matrix/matrix_0.1018.txt,output/output_selection/ancestral_sequence/ancestral_0.1018.fasta,output/output_selection/images/image_0.1018.png,output/output_selection/h_result/h_0.1018.txt,17887.9
0.1399,output/output_selection/fasta/selection_0.1399.fasta,-2.1096776595481748,0.00030746965257620124,422.0,output/output_selection/snps/snps_0.1399.fasta,output/output_selection/matrix/matrix_0.1399.txt,output/output_selection/ancestral_sequence/ancestral_0.1399.fasta,output/output_selection/images/image_0.1399.png,output/output_selection/h_result/h_0.1399.txt,17523.9
0.1994,output/output_selection/fasta/selection_0.1994.fasta,-2.6424669059699157,0.00011962304619378007,286.0,output/output_selection/snps/snps_0.1994.fasta,output/output_selection/matrix/matrix_0.1994.txt,output/output_selection/ancestral_sequence/ancestral_0.1994.fasta,output/output_selection/images/image_0.1994.png,output/output_selection/h_result/h_0.1994.txt,18793.0
0.2024,output/output_selection/fasta/selection_0.2024.fasta,-2.690356383928968,0.00011260291437489617,288.0,output/output_selection/snps/snps_0.2024.fasta,output/output_selection/matrix/matrix_0.2024.txt,output/output_selection/ancestral_sequence/ancestral_0.2024.fasta,output/output_selection/images/image_0.2024.png,output/output_selection/h_result/h_0.2024.txt,18006.6
0.2131,output/output_selection/fasta/selection_0.2131.fasta,-2.2796918094305583,0.000222155354204033,353.0,output/output_selection/snps/snps_0.2131.fasta,output/output_selection/matrix/matrix_0.2131.txt,output/output_selection/ancestral_sequence/ancestral_0.2131.fasta,output/output_selection/images/image_0.2131.png,output/output_selection/h_result/h_0.2131.txt,22625.8
0.2375,output/output_selection/fasta/selection_0.2375.fasta,-2.4183740841990047,0.00020380200238401608,370.0,output/output_selection/snps/snps_0.2375.fasta,output/output_selection/matrix/matrix_0.2375.txt,output/output_selection/ancestral_sequence/ancestral_0.2375.fasta,output/output_selection/images/image_0.2375.png,output/output_selection/h_result/h_0.2375.txt,14312.4
0.2756,output/output_selection/fasta/selection_0.2756.fasta,-2.662241895383467,0.0001232230101941399,302.0,output/output_selection/snps/snps_0.2756.fasta,output/output_selection/matrix/matrix_0.2756.txt,output/output_selection/ancestral_sequence/ancestral_0.2756.fasta,output/output_selection/images/image_0.2756.png,output/output_selection/h_result/h_0.2756.txt,17717.6
0.2844,output/output_selection/fasta/selection_0.2844.fasta,-2.718820643046913,0.00012491390237612726,331.0,output/output_selection/snps/snps_0.2844.fasta,output/output_selection/matrix/matrix_0.2844.txt,output/output_selection/ancestral_sequence/ancestral_0.2844.fasta,output/output_selection/images/image_0.2844.png,output/output_selection/h_result/h_0.2844.txt,20655.1
0.2875,output/output_selection/fasta/selection_0.2875.fasta,-2.3483555969891907,0.00025971861493506227,438.0,output/output_selection/snps/snps_0.2875.fasta,output/output_selection/matrix/matrix_0.2875.txt,output/output_selection/ancestral_sequence/ancestral_0.2875.fasta,output/output_selection/images/image_0.2875.png,output/output_selection/h_result/h_0.2875.txt,16844.5
0.2893,output/output_selection/fasta/selection_0.2893.fasta,-2.7223190671338497,0.00012307149655776104,328.0,output/output_selection/snps/snps_0.2893.fasta,output/output_selection/matrix/matrix_0.2893.txt,output/output_selection/ancestral_sequence/ancestral_0.2893.fasta,output/output_selection/images/image_0.2893.png,output/output_selection/h_result/h_0.2893.txt,13341.9
0.3,output/output_selection/fasta/selection_0.3.fasta,-2.681576811702171,0.00011488369964785146,290.0,output/output_selection/snps/snps_0.3.fasta,output/output_selection/matrix/matrix_0.3.txt,output/output_selection/ancestral_sequence/ancestral_0.3.fasta,output/output_selection/images/image_0.3.png,output/output_selection/h_result/h_0.3.txt,21625.4
0.4006,output/output_selection/fasta/selection_0.4006.fasta,-2.439070777089693,0.00020496562711140568,380.0,output/output_selection/snps/snps_0.4006.fasta,output/output_selection/matrix/matrix_0.4006.txt,output/output_selection/ancestral_sequence/ancestral_0.4006.fasta,output/output_selection/images/image_0.4006.png,output/output_selection/h_result/h_0.4006.txt,20056.9
0.4094,output/output_selection/fasta/selection_0.4094.fasta,-2.708195615425808,0.00014097636801409732,366.0,output/output_selection/snps/snps_0.4094.fasta,output/output_selection/matrix/matrix_0.4094.txt,output/output_selection/ancestral_sequence/ancestral_0.4094.fasta,output/output_selection/images/image_0.4094.png,output/output_selection/h_result/h_0.4094.txt,23467.1
0.425,output/output_selection/fasta/selection_0.425.fasta,-2.2707096451995468,0.00025704793457115933,404.0,output/output_selection/snps/snps_0.425.fasta,output/output_selection/matrix/matrix_0.425.txt,output/output_selection/ancestral_sequence/ancestral_0.425.fasta,output/output_selection/images/image_0.425.png,output/output_selection/h_result/h_0.425.txt,16315.2
0.4631,output/output_selection/fasta/selection_0.4631.fasta,-2.7143184358389507,9.790609164615382e-05,261.0,output/output_selection/snps/snps_0.4631.fasta,output/output_selection/matrix/matrix_0.4631.txt,output/output_selection/ancestral_sequence/ancestral_0.4631.fasta,output/output_selection/images/image_0.4631.png,output/output_selection/h_result/h_0.4631.txt,21235.2
0.4768,output/output_selection/fasta/selection_0.4768.fasta,-2.6897680184764434,0.00010652216710156088,273.0,output/output_selection/snps/snps_0.4768.fasta,output/output_selection/matrix/matrix_0.4768.txt,output/output_selection/ancestral_sequence/ancestral_0.4768.fasta,output/output_selection/images/image_0.4768.png,output/output_selection/h_result/h_0.4768.txt,17599.6
0.4875,output/output_selection/fasta/selection_0.4875.fasta,-2.5214384569664325,0.00015921658965228474,325.0,output/output_selection/snps/snps_0.4875.fasta,output/output_selection/matrix/matrix_0.4875.txt,output/output_selection/ancestral_sequence/ancestral_0.4875.fasta,output/output_selection/images/image_0.4875.png,output/output_selection/h_result/h_0.4875.txt,16522.7
0.4982,output/output_selection/fasta/selection_0.4982.fasta,-2.6911541838241715,9.068596182724997e-05,235.0,output/output_selection/snps/snps_0.4982.fasta,output/output_selection/matrix/matrix_0.4982.txt,output/output_selection/ancestral_sequence/ancestral_0.4982.fasta,output/output_selection/images/image_0.4982.png,output/output_selection/h_result/h_0.4982.txt,20398.0
0.5371,output/output_selection/fasta/selection_0.5371.fasta,-2.6344746716846097,0.0001275785221945755,301.0,output/output_selection/snps/snps_0.5371.fasta,output/output_selection/matrix/matrix_0.5371.txt,output/output_selection/ancestral_sequence/ancestral_0.5371.fasta,output/output_selection/images/image_0.5371.png,output/output_selection/h_result/h_0.5371.txt,17670.4
0.5375,output/output_selection/fasta/selection_0.5375.fasta,-2.66689977101192,9.863133691895363e-05,246.0,output/output_selection/snps/snps_0.5375.fasta,output/output_selection/matrix/matrix_0.5375.txt,output/output_selection/ancestral_sequence/ancestral_0.5375.fasta,output/output_selection/images/image_0.5375.png,output/output_selection/h_result/h_0.5375.txt,18106.9
0.5437,output/output_selection/fasta/selection_0.5437.fasta,-1.4162238747493157,0.0005207079242338921,463.0,output/output_selection/snps/snps_0.5437.fasta,output/output_selection/matrix/matrix_0.5437.txt,output/output_selection/ancestral_sequence/ancestral_0.5437.fasta,output/output_selection/images/image_0.5437.png,output/output_selection/h_result/h_0.5437.txt,15978.8
0.5607,output/output_selection/fasta/selection_0.5607.fasta,-2.685171423397764,0.00011014233292010483,280.0,output/output_selection/snps/snps_0.5607.fasta,output/output_selection/matrix/matrix_0.5607.txt,output/output_selection/ancestral_sequence/ancestral_0.5607.fasta,output/output_selection/images/image_0.5607.png,output/output_selection/h_result/h_0.5607.txt,17148.0
0.5637,output/output_selection/fasta/selection_0.5637.fasta,-2.5982976700415352,0.00011665943946621091,264.0,output/output_selection/snps/snps_0.5637.fasta,output/output_selection/matrix/matrix_0.5637.txt,output/output_selection/ancestral_sequence/ancestral_0.5637.fasta,output/output_selection/images/image_0.5637.png,output/output_selection/h_result/h_0.5637.txt,21866.3
0.5881,output/output_selection/fasta/selection_0.5881.fasta,-2.7192996323162477,9.913638237354965e-05,266.0,output/output_selection/snps/snps_0.5881.fasta,output/output_selection/matrix/matrix_0.5881.txt,output/output_selection/ancestral_sequence/ancestral_0.5881.fasta,output/output_selection/images/image_0.5881.png,output/output_selection/h_result/h_0.5881.txt,21329.6
0.6506,output/output_selection/fasta/selection_0.6506.fasta,-2.6908677792665108,0.00011087363873835974,284.0,output/output_selection/snps/snps_0.6506.fasta,output/output_selection/matrix/matrix_0.6506.txt,output/output_selection/ancestral_sequence/ancestral_0.6506.fasta,output/output_selection/images/image_0.6506.png,output/output_selection/h_result/h_0.6506.txt,20422.9
0.6718,output/output_selection/fasta/selection_0.6718.fasta,-2.7117380549216006,0.00011147363273841956,294.0,output/output_selection/snps/snps_0.6718.fasta,output/output_selection/matrix/matrix_0.6718.txt,output/output_selection/ancestral_sequence/ancestral_0.6718.fasta,output/output_selection/images/image_0.6718.png,output/output_selection/h_result/h_0.6718.txt,16473.6
